Location,Selector,Degree,Male Population,Female Population,Median Age (Male),Median Age (Female),Total Population,Population Density,Zoom Level,Top Left Degree,Bottom Right Degree,id
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(998),39.303 21.410 Degrees,2114,1724,28,24,"3,838","Population Density: 5,996.90/sq km",6,39.300 21.413 Degrees,39.307 21.406 Degrees,998
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(999),39.346 21.443 Degrees,1080,869,29,22,"1,949","Population Density: 3,045.30/sq km",6,39.343 21.446 Degrees,39.350 21.440 Degrees,999
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1000),39.325 21.403 Degrees,106,67,34,20,173,Population Density: 270.30/sq km,6,39.321 21.406 Degrees,39.328 21.399 Degrees,1000
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1001),39.339 21.430 Degrees,948,820,26,24,"1,768","Population Density: 2,762.50/sq km",6,39.336 21.433 Degrees,39.343 21.426 Degrees,1001
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1002),39.274 21.430 Degrees,2485,2283,27,25,"4,768","Population Density: 7,450.00/sq km",6,39.271 21.433 Degrees,39.278 21.426 Degrees,1002
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1003),39.289 21.396 Degrees,1395,949,28,23,"2,344","Population Density: 3,662.50/sq km",6,39.285 21.399 Degrees,39.293 21.393 Degrees,1003
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1004),39.289 21.376 Degrees,1597,1362,26,25,"2,959","Population Density: 4,623.40/sq km",6,39.285 21.379 Degrees,39.293 21.372 Degrees,1004
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1005),39.310 21.443 Degrees,2419,2023,28,25,"4,442","Population Density: 6,940.60/sq km",6,39.307 21.446 Degrees,39.314 21.440 Degrees,1005
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1006),39.325 21.436 Degrees,512,499,26,23,"1,011","Population Density: 1,579.70/sq km",6,39.321 21.440 Degrees,39.328 21.433 Degrees,1006
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1007),39.282 21.296 Degrees,142,85,31,22,227,Population Density: 354.70/sq km,6,39.278 21.299 Degrees,39.285 21.293 Degrees,1007
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1008),39.289 21.443 Degrees,3439,2725,30,25,"6,164","Population Density: 9,631.30/sq km",6,39.285 21.446 Degrees,39.293 21.440 Degrees,1008
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1009),39.346 21.436 Degrees,1035,848,27,25,"1,883","Population Density: 2,942.20/sq km",6,39.343 21.440 Degrees,39.350 21.433 Degrees,1009
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1010),39.289 21.436 Degrees,2622,2193,29,26,"4,815","Population Density: 7,523.40/sq km",6,39.285 21.440 Degrees,39.293 21.433 Degrees,1010
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1011),39.339 21.369 Degrees,77,15,39,23,92,Population Density: 143.80/sq km,6,39.336 21.372 Degrees,39.343 21.366 Degrees,1011
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1012),39.296 21.396 Degrees,3837,3218,28,25,"7,055","Population Density: 11,023.40/sq km",6,39.293 21.399 Degrees,39.300 21.393 Degrees,1012
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1013),39.296 21.443 Degrees,1361,1075,30,25,"2,436","Population Density: 3,806.30/sq km",6,39.293 21.446 Degrees,39.300 21.440 Degrees,1013
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1014),39.282 21.289 Degrees,120,48,32,28,168,Population Density: 262.50/sq km,6,39.278 21.292 Degrees,39.285 21.285 Degrees,1014
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1015),39.282 21.430 Degrees,785,665,27,27,"1,450","Population Density: 2,265.60/sq km",6,39.278 21.433 Degrees,39.285 21.426 Degrees,1015
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1016),39.296 21.416 Degrees,4826,3798,29,24,"8,624","Population Density: 13,475.00/sq km",6,39.293 21.419 Degrees,39.300 21.413 Degrees,1016
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1017),39.274 21.316 Degrees,296,188,29,22,484,Population Density: 756.30/sq km,6,39.271 21.319 Degrees,39.278 21.313 Degrees,1017
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1018),39.289 21.416 Degrees,1052,786,29,25,"1,838","Population Density: 2,871.90/sq km",6,39.285 21.419 Degrees,39.293 21.413 Degrees,1018
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1019),39.339 21.376 Degrees,71,39,33,28,110,Population Density: 171.90/sq km,6,39.336 21.379 Degrees,39.343 21.372 Degrees,1019
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1020),39.296 21.436 Degrees,652,473,31,32,"1,125","Population Density: 1,757.80/sq km",6,39.293 21.440 Degrees,39.300 21.433 Degrees,1020
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1021),39.346 21.376 Degrees,165,74,32,26,239,Population Density: 373.40/sq km,6,39.343 21.379 Degrees,39.350 21.372 Degrees,1021
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1022),39.353 21.383 Degrees,60,38,29,30,98,Population Density: 153.10/sq km,6,39.350 21.386 Degrees,39.357 21.379 Degrees,1022
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1023),39.274 21.436 Degrees,2147,1555,30,25,"3,702","Population Density: 5,784.40/sq km",6,39.271 21.440 Degrees,39.278 21.433 Degrees,1023
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1024),39.339 21.349 Degrees,50,20,36,29,70,Population Density: 109.40/sq km,6,39.336 21.353 Degrees,39.343 21.346 Degrees,1024
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1025),39.310 21.396 Degrees,962,667,29,24,"1,629","Population Density: 2,545.30/sq km",6,39.307 21.399 Degrees,39.314 21.393 Degrees,1025
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1026),39.346 21.336 Degrees,50,28,28,26,78,Population Density: 121.90/sq km,6,39.343 21.339 Degrees,39.350 21.332 Degrees,1026
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1027),39.332 21.443 Degrees,1007,522,33,24,"1,529","Population Density: 2,389.10/sq km",6,39.329 21.446 Degrees,39.336 21.440 Degrees,1027
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1028),39.303 21.436 Degrees,929,651,31,26,"1,580","Population Density: 2,468.80/sq km",6,39.300 21.440 Degrees,39.307 21.433 Degrees,1028
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1029),39.346 21.389 Degrees,162,60,34,30,222,Population Density: 346.90/sq km,6,39.343 21.393 Degrees,39.350 21.386 Degrees,1029
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1030),39.310 21.410 Degrees,Protected,Protected,Protected,Protected,23,Population Density: 35.90/sq km,6,39.307 21.413 Degrees,39.314 21.406 Degrees,1030
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1031),39.303 21.416 Degrees,1654,909,32,27,"2,563","Population Density: 4,004.70/sq km",6,39.300 21.419 Degrees,39.307 21.413 Degrees,1031
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1032),39.310 21.430 Degrees,258,148,33,33,406,Population Density: 634.40/sq km,6,39.307 21.433 Degrees,39.314 21.426 Degrees,1032
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1033),39.318 21.389 Degrees,52,33,32,30,85,Population Density: 132.80/sq km,6,39.314 21.393 Degrees,39.321 21.386 Degrees,1033
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1034),39.282 21.416 Degrees,2607,2513,22,23,"5,120","Population Density: 8,000.00/sq km",6,39.278 21.419 Degrees,39.285 21.413 Degrees,1034
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1035),39.296 21.410 Degrees,4937,3732,29,25,"8,669","Population Density: 13,545.30/sq km",6,39.293 21.413 Degrees,39.300 21.406 Degrees,1035
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1036),39.289 21.389 Degrees,52,26,26,26,78,Population Density: 121.90/sq km,6,39.285 21.393 Degrees,39.293 21.386 Degrees,1036
