Location,Selector,Degree,Male Population,Female Population,Median Age (Male),Median Age (Female),Total Population,Population Density,Zoom Level,Top Left Degree,Bottom Right Degree,id
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1102),39.706 21.403 Degrees,2964,2115,29,27,"5,079","Population Density: 7,935.90/sq km",6,39.702 21.406 Degrees,39.709 21.399 Degrees,1102
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1103),39.576 21.289 Degrees,51,65,24,25,116,Population Density: 181.30/sq km,6,39.573 21.292 Degrees,39.580 21.285 Degrees,1103
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1104),39.627 21.443 Degrees,264,173,32,28,437,Population Density: 682.80/sq km,6,39.623 21.446 Degrees,39.630 21.440 Degrees,1104
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1105),39.619 21.443 Degrees,32,20,30,22,52,Population Density: 81.30/sq km,6,39.616 21.446 Degrees,39.623 21.440 Degrees,1105
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1106),39.706 21.302 Degrees,160,128,24,24,288,Population Density: 450.00/sq km,6,39.702 21.306 Degrees,39.709 21.299 Degrees,1106
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1107),39.691 21.343 Degrees,211,138,28,24,349,Population Density: 545.30/sq km,6,39.688 21.346 Degrees,39.695 21.339 Degrees,1107
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1108),39.677 21.302 Degrees,687,577,26,24,"1,264","Population Density: 1,975.00/sq km",6,39.673 21.306 Degrees,39.681 21.299 Degrees,1108
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1109),39.634 21.430 Degrees,133,77,32,31,210,Population Density: 328.10/sq km,6,39.630 21.433 Degrees,39.638 21.426 Degrees,1109
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1110),39.562 21.443 Degrees,Protected,Protected,Protected,Protected,36,Population Density: 56.30/sq km,6,39.558 21.446 Degrees,39.566 21.440 Degrees,1110
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1111),39.569 21.450 Degrees,38,17,33,12,55,Population Density: 85.90/sq km,6,39.566 21.453 Degrees,39.573 21.446 Degrees,1111
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1112),39.555 21.430 Degrees,Protected,Protected,Protected,Protected,137,Population Density: 214.10/sq km,6,39.551 21.433 Degrees,39.558 21.426 Degrees,1112
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1113),39.641 21.403 Degrees,33,28,28,30,61,Population Density: 95.30/sq km,6,39.638 21.406 Degrees,39.644 21.399 Degrees,1113
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1114),39.627 21.349 Degrees,61,34,20,27,95,Population Density: 148.40/sq km,6,39.623 21.353 Degrees,39.630 21.346 Degrees,1114
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1115),39.619 21.450 Degrees,377,82,34,28,459,Population Density: 717.20/sq km,6,39.616 21.453 Degrees,39.623 21.446 Degrees,1115
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1116),39.684 21.343 Degrees,58,20,32,24,78,Population Density: 121.90/sq km,6,39.681 21.346 Degrees,39.687 21.339 Degrees,1116
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1117),39.662 21.423 Degrees,76,18,31,28,94,Population Density: 146.90/sq km,6,39.659 21.426 Degrees,39.666 21.419 Degrees,1117
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1118),39.691 21.329 Degrees,427,268,29,27,695,"Population Density: 1,085.90/sq km",6,39.688 21.332 Degrees,39.695 21.326 Degrees,1118
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1119),39.684 21.336 Degrees,1205,910,26,23,"2,115","Population Density: 3,304.70/sq km",6,39.681 21.339 Degrees,39.687 21.332 Degrees,1119
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1120),39.720 21.396 Degrees,184,62,36,30,246,Population Density: 384.40/sq km,6,39.717 21.399 Degrees,39.723 21.393 Degrees,1120
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1121),39.619 21.423 Degrees,37,26,35,30,63,Population Density: 98.40/sq km,6,39.616 21.426 Degrees,39.623 21.419 Degrees,1121
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1122),39.691 21.309 Degrees,443,300,27,24,743,"Population Density: 1,160.90/sq km",6,39.688 21.312 Degrees,39.695 21.306 Degrees,1122
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1123),39.691 21.323 Degrees,318,240,28,24,558,Population Density: 871.90/sq km,6,39.688 21.326 Degrees,39.695 21.319 Degrees,1123
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1124),39.598 21.450 Degrees,Protected,Protected,Protected,Protected,237,Population Density: 370.30/sq km,6,39.594 21.453 Degrees,39.602 21.446 Degrees,1124
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1125),39.684 21.309 Degrees,567,477,25,26,"1,044","Population Density: 1,631.30/sq km",6,39.681 21.312 Degrees,39.687 21.306 Degrees,1125
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1126),39.641 21.430 Degrees,97,39,32,31,136,Population Density: 212.50/sq km,6,39.638 21.433 Degrees,39.644 21.426 Degrees,1126
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1127),39.641 21.423 Degrees,39,19,31,30,58,Population Density: 90.60/sq km,6,39.638 21.426 Degrees,39.644 21.419 Degrees,1127
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1128),39.677 21.289 Degrees,515,390,24,21,905,"Population Density: 1,414.10/sq km",6,39.673 21.292 Degrees,39.681 21.285 Degrees,1128
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1129),39.691 21.336 Degrees,923,604,30,25,"1,527","Population Density: 2,385.90/sq km",6,39.688 21.339 Degrees,39.695 21.332 Degrees,1129
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1130),39.698 21.296 Degrees,105,79,23,22,184,Population Density: 287.50/sq km,6,39.695 21.299 Degrees,39.702 21.293 Degrees,1130
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1131),39.713 21.396 Degrees,48,34,29,26,82,Population Density: 128.10/sq km,6,39.709 21.399 Degrees,39.717 21.393 Degrees,1131
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1132),39.713 21.376 Degrees,90,64,29,27,154,Population Density: 240.60/sq km,6,39.709 21.379 Degrees,39.717 21.372 Degrees,1132
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1133),39.720 21.389 Degrees,584,50,35,29,634,Population Density: 990.60/sq km,6,39.717 21.393 Degrees,39.723 21.386 Degrees,1133
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1134),39.706 21.410 Degrees,2519,1604,30,26,"4,123","Population Density: 6,442.20/sq km",6,39.702 21.413 Degrees,39.709 21.406 Degrees,1134
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1135),39.641 21.396 Degrees,49,35,33,25,84,Population Density: 131.30/sq km,6,39.638 21.399 Degrees,39.644 21.393 Degrees,1135
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1136),39.619 21.356 Degrees,592,16,33,34,608,Population Density: 950.00/sq km,6,39.616 21.359 Degrees,39.623 21.353 Degrees,1136
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1137),39.713 21.403 Degrees,1139,760,31,26,"1,899","Population Density: 2,967.20/sq km",6,39.709 21.406 Degrees,39.717 21.399 Degrees,1137
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1138),39.634 21.336 Degrees,78,18,32,46,96,Population Density: 150.00/sq km,6,39.630 21.339 Degrees,39.638 21.332 Degrees,1138
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1139),39.677 21.316 Degrees,1254,959,26,26,"2,213","Population Density: 3,457.80/sq km",6,39.673 21.319 Degrees,39.681 21.313 Degrees,1139
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1140),39.684 21.316 Degrees,765,583,27,24,"1,348","Population Density: 2,106.30/sq km",6,39.681 21.319 Degrees,39.687 21.313 Degrees,1140
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1141),39.648 21.430 Degrees,158,42,33,32,200,Population Density: 312.50/sq km,6,39.645 21.433 Degrees,39.652 21.426 Degrees,1141
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1142),39.706 21.396 Degrees,1676,1218,29,26,"2,894","Population Density: 4,521.90/sq km",6,39.702 21.399 Degrees,39.709 21.393 Degrees,1142
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1143),39.684 21.296 Degrees,514,405,25,23,919,"Population Density: 1,435.90/sq km",6,39.681 21.299 Degrees,39.687 21.293 Degrees,1143
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1144),39.627 21.430 Degrees,174,123,32,27,297,Population Density: 464.10/sq km,6,39.623 21.433 Degrees,39.630 21.426 Degrees,1144
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1145),39.720 21.329 Degrees,368,246,28,24,614,Population Density: 959.40/sq km,6,39.717 21.332 Degrees,39.723 21.326 Degrees,1145
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1146),39.727 21.416 Degrees,Protected,Protected,Protected,Protected,90,Population Density: 140.60/sq km,6,39.724 21.419 Degrees,39.731 21.413 Degrees,1146
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1147),39.612 21.416 Degrees,77,38,31,22,115,Population Density: 179.70/sq km,6,39.609 21.419 Degrees,39.616 21.413 Degrees,1147
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1148),39.627 21.403 Degrees,40,43,30,30,83,Population Density: 129.70/sq km,6,39.623 21.406 Degrees,39.630 21.399 Degrees,1148
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1149),39.634 21.410 Degrees,319,274,28,24,593,Population Density: 926.60/sq km,6,39.630 21.413 Degrees,39.638 21.406 Degrees,1149
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1150),39.698 21.403 Degrees,1548,1177,29,26,"2,725","Population Density: 4,257.80/sq km",6,39.695 21.406 Degrees,39.702 21.399 Degrees,1150
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1151),39.562 21.450 Degrees,515,362,32,29,877,"Population Density: 1,370.30/sq km",6,39.558 21.453 Degrees,39.566 21.446 Degrees,1151
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1152),39.627 21.436 Degrees,148,78,33,32,226,Population Density: 353.10/sq km,6,39.623 21.440 Degrees,39.630 21.433 Degrees,1152
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1153),39.691 21.296 Degrees,82,81,31,26,163,Population Density: 254.70/sq km,6,39.688 21.299 Degrees,39.695 21.293 Degrees,1153
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1154),39.670 21.410 Degrees,56,64,30,26,120,Population Density: 187.50/sq km,6,39.666 21.413 Degrees,39.673 21.406 Degrees,1154
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1155),39.698 21.383 Degrees,72,60,28,32,132,Population Density: 206.30/sq km,6,39.695 21.386 Degrees,39.702 21.379 Degrees,1155
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1156),39.634 21.436 Degrees,175,94,32,35,269,Population Density: 420.30/sq km,6,39.630 21.440 Degrees,39.638 21.433 Degrees,1156
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1157),39.706 21.416 Degrees,3528,2460,30,27,"5,988","Population Density: 9,356.30/sq km",6,39.702 21.419 Degrees,39.709 21.413 Degrees,1157
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1158),39.720 21.376 Degrees,1066,839,29,28,"1,905","Population Density: 2,976.60/sq km",6,39.717 21.379 Degrees,39.723 21.372 Degrees,1158
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1159),39.698 21.323 Degrees,1015,761,28,25,"1,776","Population Density: 2,775.00/sq km",6,39.695 21.326 Degrees,39.702 21.319 Degrees,1159
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1160),39.677 21.296 Degrees,729,549,28,24,"1,278","Population Density: 1,996.90/sq km",6,39.673 21.299 Degrees,39.681 21.293 Degrees,1160
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1161),39.720 21.416 Degrees,41,25,26,29,66,Population Density: 103.10/sq km,6,39.717 21.419 Degrees,39.723 21.413 Degrees,1161
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1162),39.619 21.416 Degrees,152,95,30,27,247,Population Density: 385.90/sq km,6,39.616 21.419 Degrees,39.623 21.413 Degrees,1162
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1163),39.677 21.323 Degrees,714,552,28,24,"1,266","Population Density: 1,978.10/sq km",6,39.673 21.326 Degrees,39.681 21.319 Degrees,1163
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1164),39.720 21.443 Degrees,Protected,Protected,Protected,Protected,45,Population Density: 70.30/sq km,6,39.717 21.446 Degrees,39.723 21.440 Degrees,1164
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1165),39.713 21.389 Degrees,67,37,37,22,104,Population Density: 162.50/sq km,6,39.709 21.393 Degrees,39.717 21.386 Degrees,1165
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1166),39.706 21.316 Degrees,772,597,25,25,"1,369","Population Density: 2,139.10/sq km",6,39.702 21.319 Degrees,39.709 21.313 Degrees,1166
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1167),39.627 21.410 Degrees,153,163,29,25,316,Population Density: 493.80/sq km,6,39.623 21.413 Degrees,39.630 21.406 Degrees,1167
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1168),39.727 21.376 Degrees,99,96,29,25,195,Population Density: 304.70/sq km,6,39.724 21.379 Degrees,39.731 21.372 Degrees,1168
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1169),39.691 21.316 Degrees,47,49,22,22,96,Population Density: 150.00/sq km,6,39.688 21.319 Degrees,39.695 21.313 Degrees,1169
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1170),39.569 21.289 Degrees,Protected,Protected,Protected,Protected,44,Population Density: 68.80/sq km,6,39.566 21.292 Degrees,39.573 21.285 Degrees,1170
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1171),39.627 21.423 Degrees,113,81,32,28,194,Population Density: 303.10/sq km,6,39.623 21.426 Degrees,39.630 21.419 Degrees,1171
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1172),39.648 21.443 Degrees,Protected,Protected,Protected,Protected,22,Population Density: 34.40/sq km,6,39.645 21.446 Degrees,39.652 21.440 Degrees,1172
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1173),39.713 21.309 Degrees,400,315,26,24,715,"Population Density: 1,117.20/sq km",6,39.709 21.312 Degrees,39.717 21.306 Degrees,1173
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1174),39.619 21.349 Degrees,Protected,Protected,Protected,Protected,21,Population Density: 32.80/sq km,6,39.616 21.353 Degrees,39.623 21.346 Degrees,1174
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1175),39.555 21.443 Degrees,37,21,35,23,58,Population Density: 90.60/sq km,6,39.551 21.446 Degrees,39.558 21.440 Degrees,1175
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1176),39.720 21.336 Degrees,634,533,29,22,"1,167","Population Density: 1,823.40/sq km",6,39.717 21.339 Degrees,39.723 21.332 Degrees,1176
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1177),39.727 21.389 Degrees,Protected,Protected,Protected,Protected,105,Population Density: 164.10/sq km,6,39.724 21.393 Degrees,39.731 21.386 Degrees,1177
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1178),39.591 21.316 Degrees,46,25,33,27,71,Population Density: 110.90/sq km,6,39.587 21.319 Degrees,39.594 21.313 Degrees,1178
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1179),39.648 21.423 Degrees,55,30,37,22,85,Population Density: 132.80/sq km,6,39.645 21.426 Degrees,39.652 21.419 Degrees,1179
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1180),39.634 21.423 Degrees,171,124,32,26,295,Population Density: 460.90/sq km,6,39.630 21.426 Degrees,39.638 21.419 Degrees,1180
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1181),39.698 21.302 Degrees,257,244,26,28,501,Population Density: 782.80/sq km,6,39.695 21.306 Degrees,39.702 21.299 Degrees,1181
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1182),39.713 21.336 Degrees,214,153,29,24,367,Population Density: 573.40/sq km,6,39.709 21.339 Degrees,39.717 21.332 Degrees,1182
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1183),39.698 21.329 Degrees,814,603,28,26,"1,417","Population Density: 2,214.10/sq km",6,39.695 21.332 Degrees,39.702 21.326 Degrees,1183
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1184),39.605 21.423 Degrees,711,21,35,37,732,"Population Density: 1,143.80/sq km",6,39.602 21.426 Degrees,39.609 21.419 Degrees,1184
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1185),39.698 21.309 Degrees,410,302,26,26,712,"Population Density: 1,112.50/sq km",6,39.695 21.312 Degrees,39.702 21.306 Degrees,1185
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1186),39.598 21.289 Degrees,38,19,29,18,57,Population Density: 89.10/sq km,6,39.594 21.292 Degrees,39.602 21.285 Degrees,1186
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1187),39.713 21.329 Degrees,1025,748,28,24,"1,773","Population Density: 2,770.30/sq km",6,39.709 21.332 Degrees,39.717 21.326 Degrees,1187
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1188),39.612 21.423 Degrees,23,28,39,25,51,Population Density: 79.70/sq km,6,39.609 21.426 Degrees,39.616 21.419 Degrees,1188
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1189),39.706 21.323 Degrees,945,722,27,24,"1,667","Population Density: 2,604.70/sq km",6,39.702 21.326 Degrees,39.709 21.319 Degrees,1189
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1190),39.720 21.403 Degrees,Protected,Protected,Protected,Protected,82,Population Density: 128.10/sq km,6,39.717 21.406 Degrees,39.723 21.399 Degrees,1190
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1191),39.684 21.329 Degrees,621,541,27,24,"1,162","Population Density: 1,815.60/sq km",6,39.681 21.332 Degrees,39.687 21.326 Degrees,1191
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1192),39.720 21.369 Degrees,96,64,27,28,160,Population Density: 250.00/sq km,6,39.717 21.372 Degrees,39.723 21.366 Degrees,1192
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1193),39.706 21.389 Degrees,29,15,24,15,44,Population Density: 68.80/sq km,6,39.702 21.393 Degrees,39.709 21.386 Degrees,1193
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1194),39.655 21.423 Degrees,Protected,Protected,Protected,Protected,38,Population Density: 59.40/sq km,6,39.652 21.426 Degrees,39.659 21.419 Degrees,1194
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1195),39.583 21.316 Degrees,27,24,31,20,51,Population Density: 79.70/sq km,6,39.580 21.319 Degrees,39.587 21.313 Degrees,1195
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1196),39.555 21.450 Degrees,664,464,30,23,"1,128","Population Density: 1,762.50/sq km",6,39.551 21.453 Degrees,39.558 21.446 Degrees,1196
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1197),39.713 21.316 Degrees,464,309,27,25,773,"Population Density: 1,207.80/sq km",6,39.709 21.319 Degrees,39.717 21.313 Degrees,1197
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1198),39.821 21.403 Degrees,16604,8831,31,23,"25,435","Population Density: 39,742.20/sq km",6,39.817 21.406 Degrees,39.824 21.399 Degrees,1198
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1199),39.770 21.423 Degrees,3393,2638,29,26,"6,031","Population Density: 9,423.40/sq km",6,39.767 21.426 Degrees,39.774 21.419 Degrees,1199
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1200),39.770 21.349 Degrees,1757,1086,29,26,"2,843","Population Density: 4,442.20/sq km",6,39.767 21.353 Degrees,39.774 21.346 Degrees,1200
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1201),39.878 21.376 Degrees,2447,1092,34,30,"3,539","Population Density: 5,529.70/sq km",6,39.875 21.379 Degrees,39.881 21.372 Degrees,1201
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1202),39.835 21.450 Degrees,4278,2216,32,26,"6,494","Population Density: 10,146.90/sq km",6,39.832 21.453 Degrees,39.838 21.446 Degrees,1202
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1203),39.842 21.389 Degrees,10212,2327,37,31,"12,539","Population Density: 19,592.20/sq km",6,39.839 21.393 Degrees,39.846 21.386 Degrees,1203
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1204),39.756 21.389 Degrees,1743,160,36,37,"1,903","Population Density: 2,973.40/sq km",6,39.753 21.393 Degrees,39.760 21.386 Degrees,1204
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1205),39.742 21.416 Degrees,51,36,31,20,87,Population Density: 135.90/sq km,6,39.738 21.419 Degrees,39.745 21.413 Degrees,1205
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1206),39.835 21.403 Degrees,97,21,34,25,118,Population Density: 184.40/sq km,6,39.832 21.406 Degrees,39.838 21.399 Degrees,1206
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1207),39.799 21.410 Degrees,2870,2117,32,29,"4,987","Population Density: 7,792.20/sq km",6,39.796 21.413 Degrees,39.802 21.406 Degrees,1207
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1208),39.813 21.423 Degrees,2983,1231,35,28,"4,214","Population Density: 6,584.40/sq km",6,39.810 21.426 Degrees,39.817 21.419 Degrees,1208
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1209),39.828 21.356 Degrees,4391,3080,30,26,"7,471","Population Density: 11,673.40/sq km",6,39.824 21.359 Degrees,39.832 21.353 Degrees,1209
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1210),39.785 21.403 Degrees,3033,1768,33,29,"4,801","Population Density: 7,501.60/sq km",6,39.781 21.406 Degrees,39.788 21.399 Degrees,1210
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1211),39.828 21.430 Degrees,826,242,34,28,"1,068","Population Density: 1,668.80/sq km",6,39.824 21.433 Degrees,39.832 21.426 Degrees,1211
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1212),39.892 21.356 Degrees,2277,1323,32,28,"3,600","Population Density: 5,625.00/sq km",6,39.889 21.359 Degrees,39.896 21.353 Degrees,1212
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1213),39.842 21.430 Degrees,2884,1258,33,29,"4,142","Population Density: 6,471.90/sq km",6,39.839 21.433 Degrees,39.846 21.426 Degrees,1213
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1214),39.885 21.403 Degrees,1530,735,33,28,"2,265","Population Density: 3,539.10/sq km",6,39.882 21.406 Degrees,39.889 21.399 Degrees,1214
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1215),39.849 21.416 Degrees,477,205,34,26,682,"Population Density: 1,065.60/sq km",6,39.846 21.419 Degrees,39.853 21.413 Degrees,1215
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1216),39.777 21.389 Degrees,234,173,30,28,407,Population Density: 635.90/sq km,6,39.774 21.393 Degrees,39.781 21.386 Degrees,1216
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1217),39.821 21.450 Degrees,7563,4269,33,28,"11,832","Population Density: 18,487.50/sq km",6,39.817 21.453 Degrees,39.824 21.446 Degrees,1217
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1218),39.821 21.423 Degrees,827,123,35,34,950,"Population Density: 1,484.40/sq km",6,39.817 21.426 Degrees,39.824 21.419 Degrees,1218
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1219),39.749 21.410 Degrees,433,333,29,25,766,"Population Density: 1,196.90/sq km",6,39.745 21.413 Degrees,39.753 21.406 Degrees,1219
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1220),39.749 21.389 Degrees,545,36,35,37,581,Population Density: 907.80/sq km,6,39.745 21.393 Degrees,39.753 21.386 Degrees,1220
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1221),39.828 21.410 Degrees,4362,2172,32,24,"6,534","Population Density: 10,209.40/sq km",6,39.824 21.413 Degrees,39.832 21.406 Degrees,1221
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1222),39.763 21.343 Degrees,48,23,32,28,71,Population Density: 110.90/sq km,6,39.760 21.346 Degrees,39.767 21.339 Degrees,1222
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1223),39.821 21.376 Degrees,815,631,29,26,"1,446","Population Density: 2,259.40/sq km",6,39.817 21.379 Degrees,39.824 21.372 Degrees,1223
