Location,Selector,Degree,HouseholdAverageSize,HouseholdMedianSize,ZoomLevel,TopLeftDegree,BottomRightDegree,ID,Parent
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(540),39.299 21.387 Degrees,4.0,4,4,39.286 21.400 Degrees,39.315 21.374 Degrees,Makkah-540-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(539),39.213 21.387 Degrees,2.9,1,4,39.199 21.400 Degrees,39.228 21.374 Degrees,Makkah-539-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(538),39.242 21.520 Degrees,3.7,3,4,39.228 21.533 Degrees,39.257 21.506 Degrees,Makkah-538-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(537),39.242 21.707 Degrees,1.7,1,4,39.228 21.720 Degrees,39.257 21.695 Degrees,Makkah-537-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(536),39.328 21.493 Degrees,4.3,4,4,39.315 21.506 Degrees,39.343 21.479 Degrees,Makkah-536-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(535),39.070 21.761 Degrees,3.9,3,4,39.056 21.774 Degrees,39.084 21.748 Degrees,Makkah-535-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(534),39.099 21.788 Degrees,4.0,4,4,39.085 21.801 Degrees,39.114 21.774 Degrees,Makkah-534-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(533),39.100 21.681 Degrees,3.8,3,4,39.089 21.695 Degrees,39.113 21.668 Degrees,Makkah-533-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(532),39.213 21.788 Degrees,4.1,4,4,39.199 21.801 Degrees,39.228 21.774 Degrees,Makkah-532-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(531),39.099 21.707 Degrees,3.9,3,4,39.085 21.720 Degrees,39.114 21.695 Degrees,Makkah-531-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(530),39.242 21.654 Degrees,4.2,4,4,39.228 21.667 Degrees,39.257 21.640 Degrees,Makkah-530-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(529),39.157 21.520 Degrees,2.8,2,4,39.143 21.533 Degrees,39.172 21.506 Degrees,Makkah-529-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(528),39.213 21.681 Degrees,3.1,2,4,39.199 21.695 Degrees,39.228 21.668 Degrees,Makkah-528-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(527),39.213 21.627 Degrees,3.8,3,4,39.199 21.640 Degrees,39.228 21.613 Degrees,Makkah-527-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(526),39.328 21.414 Degrees,3.5,3,4,39.315 21.428 Degrees,39.343 21.400 Degrees,Makkah-526-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(525),39.328 21.520 Degrees,3.8,3,4,39.315 21.533 Degrees,39.343 21.506 Degrees,Makkah-525-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(524),39.185 21.279 Degrees,3.1,2,4,39.172 21.292 Degrees,39.199 21.265 Degrees,Makkah-524-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(549),39.271 21.279 Degrees,3.4,2,4,39.257 21.292 Degrees,39.286 21.265 Degrees,Makkah-549-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(551),39.271 21.466 Degrees,3.3,2,4,39.257 21.479 Degrees,39.286 21.453 Degrees,Makkah-551-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(522),39.213 21.441 Degrees,2.3,1,4,39.199 21.453 Degrees,39.228 21.428 Degrees,Makkah-522-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(552),39.128 21.627 Degrees,3.5,3,4,39.114 21.640 Degrees,39.143 21.613 Degrees,Makkah-552-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(577),39.357 21.547 Degrees,4.3,3,4,39.343 21.559 Degrees,39.372 21.533 Degrees,Makkah-577-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(576),39.213 21.813 Degrees,4.2,4,4,39.199 21.826 Degrees,39.228 21.801 Degrees,Makkah-576-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(575),39.128 21.681 Degrees,4.0,3,4,39.114 21.695 Degrees,39.143 21.668 Degrees,Makkah-575-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(574),39.213 21.466 Degrees,3.6,3,4,39.199 21.479 Degrees,39.228 21.453 Degrees,Makkah-574-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(573),39.185 21.840 Degrees,4.3,4,4,39.172 21.853 Degrees,39.199 21.827 Degrees,Makkah-573-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(572),39.242 21.547 Degrees,3.7,3,4,39.228 21.559 Degrees,39.257 21.533 Degrees,Makkah-572-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(571),39.128 21.788 Degrees,3.7,3,4,39.114 21.801 Degrees,39.143 21.774 Degrees,Makkah-571-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(570),39.299 21.627 Degrees,1.4,1,4,39.286 21.640 Degrees,39.315 21.613 Degrees,Makkah-570-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(569),38.958 21.920 Degrees,1.0,1,4,38.947 21.934 Degrees,38.970 21.906 Degrees,Makkah-569-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(568),39.157 21.573 Degrees,2.9,2,4,39.143 21.586 Degrees,39.172 21.559 Degrees,Makkah-568-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(567),39.041 21.894 Degrees,7.1,6,4,39.028 21.906 Degrees,39.056 21.880 Degrees,Makkah-567-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(566),39.357 21.573 Degrees,1.1,1,4,39.343 21.586 Degrees,39.372 21.559 Degrees,Makkah-566-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(565),39.328 21.387 Degrees,3.7,3,4,39.315 21.400 Degrees,39.343 21.374 Degrees,Makkah-565-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(564),39.041 21.840 Degrees,3.2,2,4,39.028 21.853 Degrees,39.056 21.827 Degrees,Makkah-564-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(563),39.271 21.520 Degrees,3.6,3,4,39.257 21.533 Degrees,39.286 21.506 Degrees,Makkah-563-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(562),39.185 21.627 Degrees,3.2,2,4,39.172 21.640 Degrees,39.199 21.613 Degrees,Makkah-562-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(561),39.185 21.600 Degrees,3.1,2,4,39.172 21.613 Degrees,39.199 21.587 Degrees,Makkah-561-4,
