Location,Selector,Degree,Household Average Size,Household Median Size,Zoom Level,Top Left Degree,Bottom Right Degree,id
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(813),39.375 21.523 Degrees,3.4,2,6,39.372 21.526 Degrees,39.379 21.520 Degrees,813
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(814),39.382 21.503 Degrees,3.4,2,6,39.379 21.506 Degrees,39.386 21.500 Degrees,814
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(815),39.375 21.476 Degrees,3.8,3,6,39.372 21.480 Degrees,39.379 21.473 Degrees,815
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(816),39.131 21.583 Degrees,3.1,2,6,39.127 21.587 Degrees,39.134 21.580 Degrees,816
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(817),39.152 21.557 Degrees,3.1,2,6,39.149 21.560 Degrees,39.156 21.553 Degrees,817
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(818),39.167 21.517 Degrees,2.7,2,6,39.163 21.520 Degrees,39.171 21.513 Degrees,818
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(819),39.160 21.543 Degrees,2.7,2,6,39.156 21.547 Degrees,39.163 21.540 Degrees,819
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(820),39.138 21.577 Degrees,3.8,2,6,39.134 21.580 Degrees,39.142 21.573 Degrees,820
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(821),39.167 21.537 Degrees,2.6,2,6,39.163 21.540 Degrees,39.171 21.533 Degrees,821
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(822),39.152 21.597 Degrees,3.1,2,6,39.149 21.600 Degrees,39.156 21.593 Degrees,822
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(823),39.160 21.564 Degrees,2.8,2,6,39.156 21.567 Degrees,39.163 21.560 Degrees,823
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(824),39.174 21.470 Degrees,1.3,1,6,39.171 21.473 Degrees,39.178 21.466 Degrees,824
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(825),39.174 21.530 Degrees,2.6,2,6,39.171 21.533 Degrees,39.178 21.527 Degrees,825
